"scenario","region","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",2035,"Year","Vint_2035","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2035,508.646194444448,1.8311263
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",2040,"Year","Vint_2040","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2040,536.657102777782,1.93196557
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",2045,"Year","Vint_2045","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2045,560.801886111116,2.01888679
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",2050,"Year","Vint_2050","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2050,582.61293055556,2.09740655
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",1975,"Year","Vint_1975","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",1975,99.0307073333341,0.3565105464
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",1990,"Year","Vint_1990","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",1990,118.53940413889,0.4267418549
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",2005,"Year","Vint_2005","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2005,166.714933222224,0.6001737596
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",2010,"Year","Vint_2010","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2010,198.627595250002,0.7150593429
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",2015,"Year","Vint_2015","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2015,212.171894563891,0.76381882043
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",2020,"Year","Vint_2020","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2020,222.730052922224,0.80182819052
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",2025,"Year","Vint_2025","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2025,244.715249656391,0.880974898763
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",2030,"Year","Vint_2030","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2030,268.019772460558,0.964871180858
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",2035,"Year","Vint_2035","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2035,291.466687583613,1.049280075301
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",2040,"Year","Vint_2040","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2040,315.160112208058,1.134576403949
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",2045,"Year","Vint_2045","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2045,336.539613308336,1.21154260791
"Eg2","Argentina","finalNrgbySec","Sources","transportation","class2",2050,"Year","Vint_2050","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2050,358.157975069447,1.28936871025
"Eg1","Argentina","primNrgConsumByFuel","Sources","a oil","class2",1975,"Year","Vint_1975","Primary Energy Consumption (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","primary energy consumption by region (direct equivalent)","EJ",1975,173.59888888889,0.624956
"Eg1","Argentina","primNrgConsumByFuel","Sources","a oil","class2",1990,"Year","Vint_1990","Primary Energy Consumption (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","primary energy consumption by region (direct equivalent)","EJ",1990,243.916741666669,0.87810027
"Eg1","Argentina","primNrgConsumByFuel","Sources","a oil","class2",2005,"Year","Vint_2005","Primary Energy Consumption (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","primary energy consumption by region (direct equivalent)","EJ",2005,313.001944444447,1.126807
"Eg1","Argentina","primNrgConsumByFuel","Sources","a oil","class2",2010,"Year","Vint_2010","Primary Energy Consumption (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","primary energy consumption by region (direct equivalent)","EJ",2010,373.44291666667,1.3443945
"Eg1","Argentina","primNrgConsumByFuel","Sources","a oil","class2",2015,"Year","Vint_2015","Primary Energy Consumption (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","primary energy consumption by region (direct equivalent)","EJ",2015,357.991555555558,1.2887696
"Eg1","Argentina","primNrgConsumByFuel","Sources","a oil","class2",2020,"Year","Vint_2020","Primary Energy Consumption (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","primary energy consumption by region (direct equivalent)","EJ",2020,367.012500000003,1.321245
